"";"PRODUCTO";"PRECIO";"LINK"
"1";"iPhone 11 Rojo 64 GB - (Oro)";"$999.990";"/collections/todos-nuestros-smartphones/products/iphone-11-rojo-64-gb-oro"
"2";"iPhone 11 Verde 64 GB - (Oro)";"$799.990";"/collections/todos-nuestros-smartphones/products/iphone-11-verde-64-gb-oro"
"3";"iPhone 11 Lila 64 GB - (Oro)";"$999.990";"/collections/todos-nuestros-smartphones/products/iphone-11-lila-64-gb-oro"
"4";"iPhone XR Blanco 64 GB - (Oro)";"$699.990";"/collections/todos-nuestros-smartphones/products/iphone-xr-blanco-64-gb-oro"
"5";"iPhone XR Negro 64 GB - (Oro)";"$699.990";"/collections/todos-nuestros-smartphones/products/iphone-xr-negro-64-gb-oro"
"6";"iPhone XR Rojo 64 GB - (Oro)";"$699.990";"/collections/todos-nuestros-smartphones/products/iphone-xr-rojo-64-gb-oro"
"7";"iPhone 6 64 GB Dorado - (Bronce)";"$350.000";"/collections/todos-nuestros-smartphones/products/iphone-6-64-gb-dorado-diamante"
"8";"iPhone 6S 16 GB Silver - (Oro)";"$299.990";"/collections/todos-nuestros-smartphones/products/iphone-6s-64-gb-silver-oro"
"9";"iPhone 7 Black Matte 128 GB - (ORO)";"$449.990";"/collections/todos-nuestros-smartphones/products/iphone-7-rose-gold-128-gb-oro-1"
"10";"iPhone 7 Black Matte 32 GB - (Oro)";"$399.990";"/collections/todos-nuestros-smartphones/products/iphone-7-black-matte-32-gb-oro"
"11";"iPhone 7 Gold 32 GB - (Oro)";"$449.990";"/collections/todos-nuestros-smartphones/products/iphone-7-rosado-32-gb-grado-a-semi-nuevo-1"
"12";"iPhone 7 Jet Black 256 GB - (ORO)";"$599.990";"/collections/todos-nuestros-smartphones/products/iphone-7-jet-black-256-gb-oro-1"
"13";"iPhone 7 Jet Black 128 GB - (Bronce)";"$759.990";"/collections/todos-nuestros-smartphones/products/iphone-7-jet-black-128-gb-bronce"
"14";"iPhone 7 Rose Gold 128 GB - (ORO)";"$469.990";"/collections/todos-nuestros-smartphones/products/iphone-7-rose-gold-128-gb-oro"
"15";"iPhone 7 Rose Gold 32 GB - (Oro)";"$449.990";"/collections/todos-nuestros-smartphones/products/iphone-7-rose-gold-32-gb-oro"
"16";"iPhone 7 Silver 32 GB - (ORO)";"$449.990";"/collections/todos-nuestros-smartphones/products/iphone-7-silver-32-gb-oro"
"17";"iPhone 8 64 GB Space Gray - (Plata)";"$599.990";"/collections/todos-nuestros-smartphones/products/iphone-8-64-gb-space-grey-oro"
"18";"iPhone 8 64 GB Silver- (Plata)";"$599.990";"/collections/todos-nuestros-smartphones/products/iphone-8-64-gb-silver-plata"
"19";"iPhone 8 64 GB Rojo - (Plata)";"$599.990";"/collections/todos-nuestros-smartphones/products/iphone-8-64-gb-rojo-plata"
"20";"iPhone 8 64 GB Gold - (Plata)";"$599.990";"/collections/todos-nuestros-smartphones/products/iphone-8-64-gb-gold-oro"
"21";"iPhone 8 256 GB Gold - (ORO)";"$629.990";"/collections/todos-nuestros-smartphones/products/iphone-8-256-gb-gold-oro"
"22";"iPhone 8 Plus 64 GB Red - (Oro)";"$699.990";"/collections/todos-nuestros-smartphones/products/iphone-8-plus-64-gb-red-oro"
"23";"iPhone 8 Plus 256 GB Red - (Oro)";"$699.990";"/collections/todos-nuestros-smartphones/products/iphone-8-plus-256-gb-red-oro"
"24";"Samsung S9 Plus Negro 64 GB - (Oro)";"$799.990";"/collections/todos-nuestros-smartphones/products/samsung-s9-plus-negro-64-gb-oro"
"25";"Samsung S9 Plus Dorado 64 GB - (Oro)";"$799.990";"/collections/todos-nuestros-smartphones/products/samsung-s9-plus-dorado-64-gb-oro"
"26";"Samsung S9 Plus Azul 64 GB - (Oro)";"$799.990";"/collections/todos-nuestros-smartphones/products/samsung-s9-plus-azul-64-gb-oro"
"27";"Samsung S9 Plus Morado 64 GB - (Oro)";"$799.990";"/collections/todos-nuestros-smartphones/products/samsung-s9-plus-purpura-64-gb-diamante"
"28";"Samsung S9 Plus Morado 64 GB - (Bronce)";"$799.990";"/collections/todos-nuestros-smartphones/products/samsung-s9-plus-morado-64-gb-plata"
"29";"iPhone X 256 GB Silver - (ORO)";"$829.990";"/collections/todos-nuestros-smartphones/products/iphone-x-256-gb-silver-oro"
"30";"iPhone X 256 GB Space Gray - (ORO)";"$829.990";"/collections/todos-nuestros-smartphones/products/iphone-x-256-gb-space-gray-oro"
"31";"iPhone X 64 GB Silver - (Oro)";"$799.990";"/collections/todos-nuestros-smartphones/products/iphone-x-64-gb-silver-bronce"
"32";"iPhone XR Azul 128 GB - (Oro)";"$699.990";"/collections/todos-nuestros-smartphones/products/copia-de-iphone-xr-azul-128-gb-oro"
"33";"iPhone XR Azul 64 GB - (Oro)";"$699.990";"/collections/todos-nuestros-smartphones/products/iphone-xr-azul-64-gb-oro"
"34";"iPhone XR Blanco 128 GB - (Oro)";"$699.990";"/collections/todos-nuestros-smartphones/products/iphone-xr-silver-128-gb-oro"
"35";"iPhone XR Coral 128 GB - (Oro)";"$699.990";"/collections/todos-nuestros-smartphones/products/iphone-xr-coral-128-gb-oro"
"36";"iPhone XR Negro 128 GB - (Oro)";"$699.990";"/collections/todos-nuestros-smartphones/products/iphone-xr-negro-128-gb-oro"
"37";"iPhone XR Rojo 128 GB - (Oro)";"$699.990";"/collections/todos-nuestros-smartphones/products/copia-de-iphone-xr-rojo-128-gb-oro"
"38";"iPhone XS 256 GB Space Gray - (Oro)";"$999.990";"/collections/todos-nuestros-smartphones/products/iphone-xs-256-gb-space-gray-oro"
"39";"iPhone XS 64 GB Gold - (Bonce)";"$999.990";"/collections/todos-nuestros-smartphones/products/iphone-xs-64-gb-gold-bronce"
"40";"iPhone XS 64 GB Space Gray - (Bronce)";"$999.990";"/collections/todos-nuestros-smartphones/products/iphone-xs-64-gb-space-gray-bronce"
